symbol,date,open,high,low,close,volume,adjclose,splits
NVAX,1996-07-07 20:00:00-04:00,123.75,123.75,110.0,115.0,2250,115.0,0.0
NVAX,1996-07-08 20:00:00-04:00,117.5,117.5,110.0,112.5,1155,112.5,0.0
NVAX,1996-07-09 20:00:00-04:00,110.0,115.0,110.0,112.5,2125,112.5,0.0
NVAX,1996-07-10 20:00:00-04:00,112.5,112.5,100.0,102.5,1325,102.5,0.0
NVAX,1996-07-11 20:00:00-04:00,105.0,105.0,97.5,102.5,860,102.5,0.0
NVAX,1996-07-14 20:00:00-04:00,101.25,101.25,85.0,88.75,1855,88.75,0.0
NVAX,1996-07-15 20:00:00-04:00,90.0,92.5,65.0,80.0,9060,80.0,0.0
NVAX,1996-07-16 20:00:00-04:00,82.5,88.75,75.0,85.0,3055,85.0,0.0
NVAX,1996-07-17 20:00:00-04:00,87.5,90.0,82.5,87.5,2090,87.5,0.0
NVAX,1996-07-18 20:00:00-04:00,90.0,90.0,80.0,82.5,765,82.5,0.0
NVAX,1996-07-21 20:00:00-04:00,80.0,85.0,80.0,85.0,410,85.0,0.0
NVAX,1996-07-22 20:00:00-04:00,82.5,85.0,70.0,72.5,1485,72.5,0.0
NVAX,1996-07-23 20:00:00-04:00,65.0,70.0,62.5,67.5,3790,67.5,0.0
NVAX,1996-07-24 20:00:00-04:00,70.0,70.0,65.0,70.0,800,70.0,0.0
NVAX,1996-07-25 20:00:00-04:00,71.25,72.5,67.5,70.0,710,70.0,0.0
NVAX,1996-07-28 20:00:00-04:00,70.0,75.0,70.0,72.5,6380,72.5,0.0
NVAX,1996-07-29 20:00:00-04:00,75.0,75.0,71.25,73.75,670,73.75,0.0
NVAX,1996-07-30 20:00:00-04:00,70.0,83.75,70.0,83.75,13460,83.75,0.0
NVAX,1996-07-31 20:00:00-04:00,82.5,87.5,80.0,86.25,1710,86.25,0.0
NVAX,1996-08-01 20:00:00-04:00,87.5,100.0,87.5,95.0,1420,95.0,0.0
NVAX,1996-08-04 20:00:00-04:00,96.25,96.25,90.0,91.25,615,91.25,0.0
NVAX,1996-08-05 20:00:00-04:00,92.5,92.5,88.75,91.25,175,91.25,0.0
NVAX,1996-08-06 20:00:00-04:00,88.75,93.75,87.5,87.5,855,87.5,0.0
NVAX,1996-08-07 20:00:00-04:00,85.0,87.5,85.0,87.5,340,87.5,0.0
NVAX,1996-08-08 20:00:00-04:00,87.5,90.0,83.75,83.75,450,83.75,0.0
NVAX,1996-08-11 20:00:00-04:00,86.25,86.25,81.25,81.25,735,81.25,0.0
NVAX,1996-08-12 20:00:00-04:00,82.5,82.5,75.0,80.0,1200,80.0,0.0
NVAX,1996-08-13 20:00:00-04:00,80.0,80.0,72.5,75.0,935,75.0,0.0
NVAX,1996-08-14 20:00:00-04:00,77.5,80.0,75.0,77.5,745,77.5,0.0
NVAX,1996-08-15 20:00:00-04:00,80.0,82.5,80.0,81.25,415,81.25,0.0
NVAX,1996-08-18 20:00:00-04:00,81.25,82.5,80.0,80.0,230,80.0,0.0
NVAX,1996-08-19 20:00:00-04:00,80.0,83.75,80.0,80.0,280,80.0,0.0
NVAX,1996-08-20 20:00:00-04:00,80.0,80.0,78.75,78.75,215,78.75,0.0
NVAX,1996-08-21 20:00:00-04:00,80.0,90.0,80.0,90.0,510,90.0,0.0
NVAX,1996-08-22 20:00:00-04:00,87.5,90.0,82.5,90.0,745,90.0,0.0
NVAX,1996-08-25 20:00:00-04:00,92.5,92.5,85.0,85.0,195,85.0,0.0
NVAX,1996-08-26 20:00:00-04:00,82.5,85.0,80.0,80.0,2205,80.0,0.0
NVAX,1996-08-27 20:00:00-04:00,80.0,85.0,80.0,82.5,485,82.5,0.0
NVAX,1996-08-28 20:00:00-04:00,85.0,86.25,82.5,86.25,150,86.25,0.0
NVAX,1996-08-29 20:00:00-04:00,86.25,86.25,82.5,85.0,540,85.0,0.0
