date,CCI_Open,CCI_High,CCI_Low,CCI_Close,CCI_Volume,CCI_Dividends,CCI_Stock Splits
2020-06-23 00:00:00+00:00,167.1199951171875,167.77999877929688,165.35000610351562,139.89830017089844,1727400,0.0,
2020-06-24 00:00:00+00:00,164.0,165.83999633789062,159.14999389648438,136.9994354248047,2054600,0.0,
2020-06-25 00:00:00+00:00,162.24000549316406,164.88999938964844,160.75999450683594,139.21371459960938,1302600,0.0,
2020-06-26 00:00:00+00:00,164.41000366210938,164.8300018310547,160.67999267578125,136.34864807128906,2750500,0.0,
2020-06-29 00:00:00+00:00,163.19000244140625,163.49000549316406,160.6699981689453,137.16847229003906,1402700,0.0,
2020-06-30 00:00:00+00:00,162.94000244140625,167.99000549316406,162.83999633789062,141.4364776611328,2003100,0.0,
2020-07-01 00:00:00+00:00,167.92999267578125,173.08999633789062,167.2100067138672,145.2734375,1780600,0.0,
2020-07-02 00:00:00+00:00,173.72000122070312,174.0,169.69000244140625,144.28463745117188,2253800,0.0,
2020-07-06 00:00:00+00:00,178.61000061035156,180.0,172.3699951171875,147.310302734375,3263000,0.0,
2020-07-07 00:00:00+00:00,171.9600067138672,173.9499969482422,171.1999969482422,144.9523162841797,1705000,0.0,
2020-07-08 00:00:00+00:00,172.10000610351562,173.52000427246094,169.67999267578125,144.86776733398438,2282800,0.0,
2020-07-09 00:00:00+00:00,170.88999938964844,172.25,168.97999572753906,145.07061767578125,1435300,0.0,
2020-07-10 00:00:00+00:00,171.97000122070312,172.9600067138672,169.86000061035156,144.9438018798828,2070000,0.0,
2020-07-13 00:00:00+00:00,171.27999877929688,171.8800048828125,166.0399932861328,141.06460571289062,2245400,0.0,
2020-07-14 00:00:00+00:00,168.0,169.83999633789062,165.67999267578125,143.12680053710938,2534200,0.0,
2020-07-15 00:00:00+00:00,171.13999938964844,171.6199951171875,167.33999633789062,141.98580932617188,1797100,0.0,
2020-07-16 00:00:00+00:00,166.9600067138672,168.02000427246094,164.60000610351562,140.0757598876953,1623900,0.0,
2020-07-17 00:00:00+00:00,166.74000549316406,170.14999389648438,165.63999938964844,142.7971649169922,1403400,0.0,
2020-07-20 00:00:00+00:00,177.27999877929688,177.27999877929688,170.08999633789062,143.8113555908203,3817800,0.0,
2020-07-21 00:00:00+00:00,171.5,171.5,166.67999267578125,141.58856201171875,2411100,0.0,
2020-07-22 00:00:00+00:00,166.9199981689453,169.50999450683594,166.50999450683594,142.03652954101562,1368300,0.0,
2020-07-23 00:00:00+00:00,167.5399932861328,168.7899932861328,164.72000122070312,140.93783569335938,1730700,0.0,
2020-07-24 00:00:00+00:00,166.41000366210938,167.8300018310547,165.72999572753906,140.88711547851562,1498100,0.0,
2020-07-27 00:00:00+00:00,167.0,169.19000244140625,166.33999633789062,142.35768127441406,1603200,0.0,
2020-07-28 00:00:00+00:00,168.1199951171875,172.9199981689453,168.10000610351562,145.18051147460938,2070300,0.0,
2020-07-29 00:00:00+00:00,172.92999267578125,175.14999389648438,172.10000610351562,146.94686889648438,2469800,0.0,
2020-07-30 00:00:00+00:00,168.9499969482422,170.6999969482422,167.10000610351562,143.85360717773438,2780900,0.0,
2020-07-31 00:00:00+00:00,170.2100067138672,170.2100067138672,170.2100067138672,143.85360717773438,0,0.0,
2020-08-03 00:00:00+00:00,165.92999267578125,166.0500030517578,162.0,138.689697265625,2799700,0.0,
2020-08-04 00:00:00+00:00,164.39999389648438,167.77000427246094,164.14999389648438,140.19410705566406,2300200,0.0,
2020-08-05 00:00:00+00:00,166.3699951171875,166.57000732421875,163.72999572753906,139.04464721679688,1713500,0.0,
2020-08-06 00:00:00+00:00,164.00999450683594,165.2899932861328,163.42999267578125,138.49534606933594,1513600,0.0,
2020-08-07 00:00:00+00:00,163.91000366210938,169.36000061035156,163.8000030517578,142.1464080810547,1633400,0.0,
2020-08-10 00:00:00+00:00,168.05999755859375,168.22999572753906,164.9199981689453,140.44761657714844,2287500,0.0,
2020-08-11 00:00:00+00:00,167.1699981689453,167.3000030517578,161.39999389648438,136.7374267578125,1865200,0.0,
2020-08-12 00:00:00+00:00,162.99000549316406,166.16000366210938,162.6199951171875,139.619384765625,1098600,0.0,
2020-08-13 00:00:00+00:00,164.6999969482422,165.38999938964844,163.60000610351562,138.90945434570312,1309700,0.0,
2020-08-14 00:00:00+00:00,164.33999633789062,165.8800048828125,163.6300048828125,139.13763427734375,1435300,0.0,
2020-08-17 00:00:00+00:00,164.75999450683594,166.32000732421875,164.41000366210938,140.34622192382812,1182100,0.0,
2020-08-18 00:00:00+00:00,165.72999572753906,168.2100067138672,165.33999633789062,140.29550170898438,1071200,0.0,
