date,SGLY_Open,SGLY_High,SGLY_Low,SGLY_Close,SGLY_Volume,SGLY_Dividends,SGLY_Stock Splits
2008-09-30 00:00:00+00:00,199.0,220.5,176.5,217.5,742,,
2008-10-01 00:00:00+00:00,192.5,209.5,192.5,194.5,46,,
2008-10-02 00:00:00+00:00,183.5,188.0,167.5,188.0,778,,
2008-10-03 00:00:00+00:00,175.5,175.5,167.5,174.5,556,,
2008-10-06 00:00:00+00:00,169.0,170.0,140.0,162.0,888,,
2008-10-07 00:00:00+00:00,155.5,155.5,132.5,149.0,80,,
2008-10-08 00:00:00+00:00,137.5,137.5,120.0,125.5,648,,
2008-10-09 00:00:00+00:00,137.5,149.5,128.0,144.5,772,,
2008-10-10 00:00:00+00:00,137.5,137.5,88.5,125.5,878,,
2008-10-13 00:00:00+00:00,137.0,137.0,119.0,131.5,224,,
2008-10-14 00:00:00+00:00,120.5,150.0,115.5,149.5,1016,,
2008-10-15 00:00:00+00:00,152.0,156.5,144.5,154.0,278,,
2008-10-16 00:00:00+00:00,147.5,154.0,140.0,154.0,306,,
2008-10-17 00:00:00+00:00,141.5,149.5,139.5,149.5,80,,
2008-10-20 00:00:00+00:00,152.5,154.5,137.5,149.5,64,,
2008-10-21 00:00:00+00:00,154.5,154.5,140.0,154.5,162,,
2008-10-22 00:00:00+00:00,146.0,150.0,140.5,149.5,486,,
2008-10-23 00:00:00+00:00,149.5,150.0,135.5,150.0,254,,
2008-10-24 00:00:00+00:00,128.0,150.0,128.0,149.0,70,,
2008-10-27 00:00:00+00:00,149.0,157.0,149.0,155.0,380,,
2008-10-28 00:00:00+00:00,154.0,160.0,138.5,160.0,200,,
2008-10-29 00:00:00+00:00,160.0,172.5,150.0,159.5,156,,
2008-10-30 00:00:00+00:00,160.0,160.0,156.0,159.0,172,,
2008-10-31 00:00:00+00:00,153.0,172.5,153.0,172.0,154,,
2008-11-03 00:00:00+00:00,178.0,205.0,170.5,199.5,726,,
2008-11-04 00:00:00+00:00,203.0,210.0,168.5,199.5,540,,
