date,IDN_Open,IDN_High,IDN_Low,IDN_Close,IDN_Volume,IDN_Dividends,IDN_Stock Splits
2000-01-12 00:00:00+00:00,94.0,94.5,92.0,92.0,1325,,
2000-01-13 00:00:00+00:00,92.0,92.0,89.0,89.0,700,,
2000-01-14 00:00:00+00:00,88.0,88.0,85.0,85.0,1500,,
2000-01-18 00:00:00+00:00,85.0,87.0,83.0,83.0,2738,,
2000-01-19 00:00:00+00:00,84.0,85.0,83.0,85.0,2950,,
2000-01-20 00:00:00+00:00,84.0,87.0,84.0,87.0,1863,,
2000-01-21 00:00:00+00:00,85.0,88.0,84.0,88.0,2200,,
2000-01-24 00:00:00+00:00,91.0,97.5,89.0,97.5,7088,,
2000-01-25 00:00:00+00:00,97.5,104.0,97.5,100.0,7650,,
2000-01-26 00:00:00+00:00,100.0,110.0,100.0,105.0,9013,,
2000-01-27 00:00:00+00:00,106.0,106.0,98.0,98.0,3238,,
2000-01-28 00:00:00+00:00,96.0,96.0,89.0,89.0,1063,,
2000-01-31 00:00:00+00:00,88.0,88.0,84.0,84.0,1388,,
2000-02-01 00:00:00+00:00,84.0,84.0,81.0,81.0,1213,,
2000-02-02 00:00:00+00:00,82.0,84.5,82.0,82.0,1450,,
2000-02-03 00:00:00+00:00,85.0,88.0,85.0,85.0,625,,
2000-02-04 00:00:00+00:00,89.0,90.0,86.0,88.0,1288,,
2000-02-07 00:00:00+00:00,88.0,88.0,86.0,86.0,838,,
2000-02-08 00:00:00+00:00,86.0,87.0,86.0,87.0,288,,
2000-02-09 00:00:00+00:00,87.0,87.0,84.0,84.0,713,,
2000-02-10 00:00:00+00:00,85.0,87.0,84.0,85.0,575,,
2000-02-11 00:00:00+00:00,87.0,87.0,85.0,86.0,1288,,
2000-02-14 00:00:00+00:00,87.0,88.0,85.0,86.0,2088,,
2000-02-15 00:00:00+00:00,85.0,91.0,83.0,89.0,1288,,
2000-02-16 00:00:00+00:00,89.0,90.5,88.0,88.0,1125,,
2000-02-17 00:00:00+00:00,88.0,102.0,88.0,99.0,2388,,
2000-02-18 00:00:00+00:00,104.0,104.0,95.0,96.0,2375,,
2000-02-22 00:00:00+00:00,93.0,95.0,93.0,94.0,738,,
2000-02-23 00:00:00+00:00,96.0,98.0,94.0,94.5,2888,,
2000-02-24 00:00:00+00:00,94.5,96.0,92.0,92.0,975,,
2000-02-25 00:00:00+00:00,93.5,95.5,88.0,90.0,1700,,
2000-02-28 00:00:00+00:00,92.0,96.0,89.0,89.0,1538,,
2000-02-29 00:00:00+00:00,88.0,90.0,87.0,90.0,1463,,
2000-03-01 00:00:00+00:00,88.5,90.5,88.0,89.0,1475,,
2000-03-02 00:00:00+00:00,88.5,89.0,86.0,88.0,1450,,
2000-03-03 00:00:00+00:00,90.0,92.0,89.0,90.0,888,,
2000-03-06 00:00:00+00:00,88.0,90.0,84.0,85.0,1700,,
2000-03-07 00:00:00+00:00,88.0,88.0,85.0,85.0,1000,,
2000-03-08 00:00:00+00:00,88.0,93.0,87.0,93.0,1125,,
2000-03-09 00:00:00+00:00,94.0,98.0,92.0,96.0,5813,,
2000-03-10 00:00:00+00:00,96.0,98.0,96.0,96.0,988,,
2000-03-13 00:00:00+00:00,95.0,97.0,93.0,97.0,813,,
2000-03-14 00:00:00+00:00,95.0,104.0,95.0,97.0,3163,,
2000-03-15 00:00:00+00:00,98.0,101.0,95.0,96.0,4000,,
2000-03-16 00:00:00+00:00,96.0,96.0,95.0,96.0,2688,,
2000-03-17 00:00:00+00:00,97.0,97.0,95.0,95.0,475,,
2000-03-20 00:00:00+00:00,95.0,100.0,95.0,100.0,2888,,
2000-03-21 00:00:00+00:00,98.0,98.0,96.0,96.0,475,,
2000-03-22 00:00:00+00:00,98.0,99.0,94.0,95.0,3425,,
2000-03-23 00:00:00+00:00,96.0,96.0,92.0,92.0,1563,,
2000-03-24 00:00:00+00:00,95.0,95.0,88.0,89.0,2513,,
2000-03-27 00:00:00+00:00,86.0,89.0,86.0,88.0,2750,,
2000-03-28 00:00:00+00:00,90.0,95.0,90.0,94.0,2925,,
2000-03-29 00:00:00+00:00,94.0,94.0,83.5,85.0,3300,,
2000-03-30 00:00:00+00:00,85.0,85.0,77.0,77.0,2425,,
2000-03-31 00:00:00+00:00,79.0,79.0,75.0,75.0,838,,
2000-04-03 00:00:00+00:00,78.0,78.0,75.0,75.0,975,,
2000-04-04 00:00:00+00:00,74.0,74.0,66.0,73.0,1063,,
2000-04-05 00:00:00+00:00,73.0,74.0,71.0,73.0,1888,,
2000-04-06 00:00:00+00:00,74.0,74.0,70.0,72.0,3088,,
2000-04-07 00:00:00+00:00,74.0,79.0,72.0,79.0,2913,,
2000-04-10 00:00:00+00:00,78.0,80.0,78.0,80.0,1038,,
2000-04-11 00:00:00+00:00,84.0,84.0,80.0,82.0,1575,,
2000-04-12 00:00:00+00:00,82.0,82.0,72.0,73.5,3288,,
2000-04-13 00:00:00+00:00,72.0,72.0,67.0,67.0,1763,,
2000-04-14 00:00:00+00:00,66.0,66.0,61.0,64.0,3625,,
2000-04-17 00:00:00+00:00,61.0,62.0,51.0,54.0,1713,,
2000-04-18 00:00:00+00:00,52.0,52.0,47.0,51.0,4675,,
2000-04-19 00:00:00+00:00,52.0,63.0,51.0,62.0,4213,,
2000-04-20 00:00:00+00:00,63.0,63.5,56.0,57.5,1125,,
2000-04-24 00:00:00+00:00,58.5,60.0,55.5,59.0,2125,,
2000-04-25 00:00:00+00:00,66.0,66.0,63.0,64.0,3700,,
2000-04-26 00:00:00+00:00,64.0,71.0,64.0,65.0,1713,,
2000-04-27 00:00:00+00:00,67.0,69.0,67.0,67.0,1525,,
2000-04-28 00:00:00+00:00,68.0,69.0,65.0,67.0,1150,,
2000-05-01 00:00:00+00:00,67.0,67.0,65.0,66.0,1613,,
2000-05-02 00:00:00+00:00,66.5,68.0,65.0,67.0,1075,,
2000-05-03 00:00:00+00:00,67.5,67.5,65.5,65.5,613,,
2000-05-04 00:00:00+00:00,66.0,68.0,64.0,64.0,1400,,
2000-05-05 00:00:00+00:00,65.0,66.0,63.0,66.0,238,,
2000-05-08 00:00:00+00:00,65.0,66.0,64.0,64.0,613,,
2000-05-09 00:00:00+00:00,65.0,65.0,62.0,63.0,263,,
2000-05-10 00:00:00+00:00,61.0,62.5,59.0,59.5,538,,
2000-05-11 00:00:00+00:00,59.0,59.0,56.0,57.0,450,,
2000-05-12 00:00:00+00:00,57.0,57.0,54.0,56.0,1263,,
2000-05-15 00:00:00+00:00,57.0,80.0,57.0,71.0,6688,,
2000-05-16 00:00:00+00:00,72.0,79.0,72.0,75.0,5063,,
2000-05-17 00:00:00+00:00,74.0,95.0,72.5,88.0,10875,,
2000-05-18 00:00:00+00:00,88.0,89.0,82.0,84.0,5575,,
2000-05-19 00:00:00+00:00,80.0,89.0,76.0,84.0,6588,,
2000-05-22 00:00:00+00:00,87.0,87.0,74.0,80.0,5288,,
2000-05-23 00:00:00+00:00,78.5,78.5,69.0,70.0,3713,,
2000-05-24 00:00:00+00:00,69.5,71.0,68.0,68.0,1088,,
2000-05-25 00:00:00+00:00,66.0,68.0,61.0,61.0,1400,,
2000-05-26 00:00:00+00:00,59.0,60.0,59.0,60.0,263,,
2000-05-30 00:00:00+00:00,60.5,61.5,59.0,61.5,1063,,
2000-05-31 00:00:00+00:00,62.5,64.5,62.0,63.5,1025,,
2000-06-01 00:00:00+00:00,64.0,67.5,64.0,66.0,1450,,
2000-06-02 00:00:00+00:00,68.0,68.0,66.0,66.0,438,,
2000-06-05 00:00:00+00:00,67.0,68.0,62.0,62.0,638,,
2000-06-06 00:00:00+00:00,63.0,64.0,61.0,61.0,288,,
2000-06-07 00:00:00+00:00,62.0,62.0,61.0,61.0,563,,
2000-06-08 00:00:00+00:00,62.0,63.0,60.0,63.0,1563,,
2000-06-09 00:00:00+00:00,64.0,72.0,64.0,69.0,1363,,
2000-06-12 00:00:00+00:00,72.0,72.0,66.0,68.0,1688,,
2000-06-13 00:00:00+00:00,66.0,67.0,62.0,65.0,1900,,
2000-06-14 00:00:00+00:00,65.0,65.0,63.0,65.0,200,,
2000-06-15 00:00:00+00:00,64.0,64.0,62.5,63.0,1438,,
2000-06-16 00:00:00+00:00,63.0,63.5,62.0,63.5,1075,,
2000-06-19 00:00:00+00:00,62.5,63.5,62.5,63.5,250,,
2000-06-20 00:00:00+00:00,64.0,67.5,64.0,66.0,1250,,
2000-06-21 00:00:00+00:00,66.5,68.0,66.0,68.0,563,,
2000-06-22 00:00:00+00:00,68.0,70.5,66.0,70.0,1625,,
2000-06-23 00:00:00+00:00,72.0,73.0,66.0,68.0,2750,,
2000-06-26 00:00:00+00:00,69.0,69.0,66.0,67.0,1663,,
2000-06-27 00:00:00+00:00,66.0,67.0,64.0,66.0,838,,
2000-06-28 00:00:00+00:00,64.0,65.5,64.0,65.5,363,,
2000-06-29 00:00:00+00:00,65.5,65.5,64.0,65.5,788,,
2000-06-30 00:00:00+00:00,64.0,66.0,63.0,63.0,525,,
2000-07-03 00:00:00+00:00,62.0,64.0,62.0,64.0,1075,,
2000-07-05 00:00:00+00:00,64.0,64.0,64.0,64.0,125,,
2000-07-06 00:00:00+00:00,65.0,67.0,65.0,65.5,1550,,
2000-07-07 00:00:00+00:00,66.5,67.0,65.0,66.0,3113,,
2000-07-10 00:00:00+00:00,66.5,68.0,66.5,68.0,838,,
2000-07-11 00:00:00+00:00,69.0,72.0,67.5,70.0,5325,,
2000-07-12 00:00:00+00:00,72.0,77.0,72.0,77.0,2588,,
2000-07-13 00:00:00+00:00,78.0,81.0,69.0,70.0,6900,,
2000-07-14 00:00:00+00:00,71.0,74.0,70.0,71.0,1300,,
2000-07-17 00:00:00+00:00,70.0,72.0,67.0,68.0,1550,,
2000-07-18 00:00:00+00:00,66.0,69.0,66.0,68.0,1538,,
2000-07-19 00:00:00+00:00,70.0,71.0,67.0,69.0,1325,,
2000-07-20 00:00:00+00:00,68.0,68.0,66.0,67.5,1350,,
2000-07-21 00:00:00+00:00,66.5,67.5,66.5,67.5,613,,
2000-07-24 00:00:00+00:00,67.0,67.0,61.0,61.0,1563,,
2000-07-25 00:00:00+00:00,63.0,63.0,60.0,61.0,500,,
2000-07-26 00:00:00+00:00,60.0,61.0,53.0,61.0,2488,,
2000-07-27 00:00:00+00:00,60.0,60.0,56.0,57.0,1050,,
2000-07-28 00:00:00+00:00,56.0,59.0,55.0,56.0,663,,
2000-07-31 00:00:00+00:00,55.0,56.0,54.0,56.0,775,,
2000-08-01 00:00:00+00:00,55.0,56.0,53.0,53.0,1075,,
2000-08-02 00:00:00+00:00,55.0,58.5,55.0,57.5,2375,,
2000-08-03 00:00:00+00:00,56.5,58.5,55.0,55.75,1375,,
2000-08-04 00:00:00+00:00,57.0,66.0,57.0,64.0,2763,,
2000-08-07 00:00:00+00:00,65.0,67.0,64.0,66.0,1775,,
2000-08-08 00:00:00+00:00,66.0,67.0,64.0,66.0,1400,,
2000-08-09 00:00:00+00:00,66.0,67.0,64.0,66.0,988,,
2000-08-10 00:00:00+00:00,65.5,67.5,65.0,66.0,1175,,
2000-08-11 00:00:00+00:00,67.0,77.0,67.0,77.0,2700,,
2000-08-14 00:00:00+00:00,78.0,78.0,74.0,74.0,3650,,
2000-08-15 00:00:00+00:00,76.0,78.0,73.0,78.0,2900,,
2000-08-16 00:00:00+00:00,80.0,85.0,79.0,84.0,4975,,
2000-08-17 00:00:00+00:00,84.0,86.5,82.0,86.5,5163,,
2000-08-18 00:00:00+00:00,88.0,101.0,88.0,96.0,13550,,
2000-08-21 00:00:00+00:00,96.0,97.5,92.0,96.0,4563,,
2000-08-22 00:00:00+00:00,95.0,95.0,92.0,94.0,1638,,
2000-08-23 00:00:00+00:00,91.0,92.0,86.5,88.0,4238,,
2000-08-24 00:00:00+00:00,89.0,89.0,83.0,87.0,2275,,
2000-08-25 00:00:00+00:00,89.0,89.0,84.5,88.0,1700,,
2000-08-28 00:00:00+00:00,90.0,91.5,87.5,88.0,6050,,
2000-08-29 00:00:00+00:00,88.0,88.0,84.0,87.0,7138,,
2000-08-30 00:00:00+00:00,86.5,88.5,86.5,87.0,2275,,
2000-08-31 00:00:00+00:00,86.5,87.0,84.0,85.0,1438,,
2000-09-01 00:00:00+00:00,85.5,87.5,84.5,86.0,538,,
2000-09-05 00:00:00+00:00,87.0,89.0,86.0,86.5,1325,,
2000-09-06 00:00:00+00:00,86.0,87.0,79.0,79.0,2263,,
2000-09-07 00:00:00+00:00,80.0,85.0,78.5,82.0,11013,,
2000-09-08 00:00:00+00:00,83.0,83.5,78.0,80.5,3938,,
2000-09-11 00:00:00+00:00,80.5,80.5,79.5,80.0,450,,
2000-09-12 00:00:00+00:00,81.0,81.0,78.0,78.0,975,,
2000-09-13 00:00:00+00:00,76.0,80.0,76.0,80.0,2450,,
2000-09-14 00:00:00+00:00,80.0,89.0,80.0,83.0,6363,,
2000-09-15 00:00:00+00:00,83.5,86.0,80.0,80.0,4338,,
2000-09-18 00:00:00+00:00,80.0,80.0,75.0,76.0,1538,,
2000-09-19 00:00:00+00:00,78.0,87.0,78.0,87.0,3088,,
2000-09-20 00:00:00+00:00,88.0,95.0,88.0,91.0,8088,,
2000-09-21 00:00:00+00:00,91.5,96.0,89.0,91.0,6913,,
2000-09-22 00:00:00+00:00,89.0,90.5,87.0,90.5,1888,,
2000-09-25 00:00:00+00:00,89.5,89.5,84.0,89.0,2000,,
2000-09-26 00:00:00+00:00,87.0,91.0,85.0,90.5,1225,,
2000-09-27 00:00:00+00:00,92.5,93.5,89.0,90.0,4250,,
2000-09-28 00:00:00+00:00,91.0,100.0,90.0,97.0,10963,,
2000-09-29 00:00:00+00:00,99.0,109.0,99.0,109.0,11025,,
2000-10-02 00:00:00+00:00,109.0,114.0,109.0,112.0,7288,,
2000-10-03 00:00:00+00:00,113.0,116.0,111.0,112.5,3288,,
2000-10-04 00:00:00+00:00,113.0,114.0,108.0,112.5,2963,,
2000-10-05 00:00:00+00:00,113.5,113.5,109.0,111.0,4250,,
2000-10-06 00:00:00+00:00,110.0,111.0,101.0,104.0,5325,,
2000-10-09 00:00:00+00:00,102.0,102.0,101.0,101.0,313,,
2000-10-10 00:00:00+00:00,101.0,101.0,97.0,99.0,1050,,
2000-10-11 00:00:00+00:00,100.0,100.0,90.0,92.0,2438,,
2000-10-12 00:00:00+00:00,93.0,93.0,82.0,84.0,1225,,
2000-10-13 00:00:00+00:00,85.0,92.0,85.0,92.0,2250,,
2000-10-16 00:00:00+00:00,93.5,94.0,90.0,92.0,650,,
2000-10-17 00:00:00+00:00,93.0,93.0,83.0,83.0,1863,,
2000-10-18 00:00:00+00:00,83.0,87.0,78.0,85.0,1713,,
2000-10-19 00:00:00+00:00,86.0,89.0,85.0,88.5,3988,,
2000-10-20 00:00:00+00:00,89.25,120.0,89.25,114.0,16025,,
2000-10-23 00:00:00+00:00,116.0,116.0,105.0,105.5,2413,,
2000-10-24 00:00:00+00:00,106.0,108.0,102.0,108.0,3163,,
2000-10-25 00:00:00+00:00,109.0,109.0,102.0,104.0,2713,,
2000-10-26 00:00:00+00:00,106.0,106.0,102.0,105.0,1750,,
2000-10-27 00:00:00+00:00,104.0,106.0,103.0,105.0,938,,
2000-10-30 00:00:00+00:00,104.0,106.0,100.0,102.0,1025,,
2000-10-31 00:00:00+00:00,103.0,104.0,98.0,99.0,1850,,
2000-11-01 00:00:00+00:00,99.0,104.0,99.0,103.0,888,,
2000-11-02 00:00:00+00:00,105.0,115.0,105.0,110.0,3575,,
2000-11-03 00:00:00+00:00,112.0,112.0,109.0,111.5,925,,
2000-11-06 00:00:00+00:00,111.5,112.0,110.0,112.0,975,,
2000-11-07 00:00:00+00:00,112.0,120.75,112.0,120.0,7863,,
2000-11-08 00:00:00+00:00,121.0,121.0,112.0,116.0,3338,,
2000-11-09 00:00:00+00:00,117.0,117.0,109.0,113.0,1525,,
2000-11-10 00:00:00+00:00,114.0,114.0,104.0,107.0,1200,,
2000-11-13 00:00:00+00:00,107.0,111.0,106.0,111.0,3238,,
2000-11-14 00:00:00+00:00,112.0,115.5,110.0,114.0,3350,,
2000-11-15 00:00:00+00:00,113.0,113.0,104.0,106.0,1888,,
2000-11-16 00:00:00+00:00,105.0,107.0,99.0,102.0,1325,,
2000-11-17 00:00:00+00:00,102.5,107.0,101.0,106.0,7363,,
2000-11-20 00:00:00+00:00,107.5,107.5,90.0,94.0,7575,,
2000-11-21 00:00:00+00:00,92.0,94.0,86.0,89.0,2400,,
2000-11-22 00:00:00+00:00,90.0,90.0,78.0,80.0,2000,,
2000-11-24 00:00:00+00:00,82.0,84.0,80.0,84.0,613,,
2000-11-27 00:00:00+00:00,85.0,85.0,83.5,84.0,300,,
2000-11-28 00:00:00+00:00,83.0,84.0,75.0,77.0,3625,,
2000-11-29 00:00:00+00:00,79.0,81.0,72.0,75.0,2075,,
2000-11-30 00:00:00+00:00,74.0,76.0,72.0,72.0,4313,,
2000-12-01 00:00:00+00:00,73.0,73.0,71.5,72.0,575,,
2000-12-04 00:00:00+00:00,72.0,72.0,68.0,69.5,1088,,
2000-12-05 00:00:00+00:00,70.5,76.5,69.0,76.5,4875,,
2000-12-06 00:00:00+00:00,76.75,80.5,72.75,80.0,8238,,
2000-12-07 00:00:00+00:00,80.5,80.5,77.5,80.0,775,,
2000-12-08 00:00:00+00:00,80.0,82.0,80.0,81.5,1338,,
2000-12-11 00:00:00+00:00,82.0,83.0,80.0,80.0,550,,
2000-12-12 00:00:00+00:00,78.0,80.0,78.0,80.0,725,,
2000-12-13 00:00:00+00:00,80.0,82.5,78.0,80.5,3113,,
2000-12-14 00:00:00+00:00,81.0,81.0,78.0,79.0,550,,
2000-12-15 00:00:00+00:00,79.5,79.5,77.5,79.5,2050,,
2000-12-18 00:00:00+00:00,80.0,88.0,80.0,87.5,4188,,
2000-12-19 00:00:00+00:00,86.0,87.5,81.0,82.0,2350,,
2000-12-20 00:00:00+00:00,82.0,86.5,80.0,83.0,3513,,
2000-12-21 00:00:00+00:00,88.0,90.0,85.0,87.0,11250,,
2000-12-22 00:00:00+00:00,88.0,90.0,86.0,87.0,2388,,
2000-12-26 00:00:00+00:00,90.0,91.0,84.0,87.0,2888,,
2000-12-27 00:00:00+00:00,86.0,86.0,80.0,80.0,1975,,
2000-12-28 00:00:00+00:00,80.0,84.0,80.0,83.0,4313,,
2000-12-29 00:00:00+00:00,83.0,88.0,83.0,87.0,4913,,
2001-01-02 00:00:00+00:00,88.0,88.0,80.0,83.0,2688,,
2001-01-03 00:00:00+00:00,83.0,87.0,77.0,87.0,1675,,
2001-01-04 00:00:00+00:00,87.0,92.0,87.0,90.0,3075,,
2001-01-05 00:00:00+00:00,93.0,93.0,88.5,88.5,1875,,
2001-01-08 00:00:00+00:00,89.0,89.0,84.0,86.0,938,,
2001-01-09 00:00:00+00:00,86.0,87.0,83.0,85.0,750,,
2001-01-10 00:00:00+00:00,84.0,84.0,78.0,80.0,1150,,
2001-01-11 00:00:00+00:00,80.0,81.0,76.0,78.0,2775,,
2001-01-12 00:00:00+00:00,78.0,86.0,77.0,86.0,8675,,
2001-01-16 00:00:00+00:00,87.0,87.0,84.5,87.0,1363,,
2001-01-17 00:00:00+00:00,88.0,88.0,80.0,83.0,2500,,
2001-01-18 00:00:00+00:00,84.0,84.0,78.0,81.0,2488,,
2001-01-19 00:00:00+00:00,80.0,80.0,76.0,78.0,1350,,
2001-01-22 00:00:00+00:00,76.0,77.0,66.0,69.5,6163,,
2001-01-23 00:00:00+00:00,70.0,74.5,70.0,74.5,875,,
2001-01-24 00:00:00+00:00,74.5,74.5,73.0,74.5,613,,
2001-01-25 00:00:00+00:00,76.5,77.0,74.0,77.0,1013,,
2001-01-26 00:00:00+00:00,78.0,82.0,77.0,81.5,2113,,
2001-01-29 00:00:00+00:00,81.5999984741211,82.80000305175781,81.19999694824219,82.80000305175781,1050,,
2001-01-30 00:00:00+00:00,82.0,82.80000305175781,80.0,82.80000305175781,1213,,
2001-01-31 00:00:00+00:00,83.5999984741211,83.91999816894531,80.4000015258789,80.80000305175781,925,,
2001-02-01 00:00:00+00:00,80.80000305175781,82.08000183105469,78.4000015258789,80.0,1375,,
2001-02-02 00:00:00+00:00,81.91999816894531,81.91999816894531,79.19999694824219,79.19999694824219,488,,
2001-02-05 00:00:00+00:00,78.4000015258789,78.4800033569336,77.5999984741211,78.4000015258789,338,,
2001-02-06 00:00:00+00:00,78.4000015258789,78.4000015258789,75.19999694824219,75.36000061035156,725,,
2001-02-07 00:00:00+00:00,75.36000061035156,79.04000091552734,72.0,79.04000091552734,3763,,
2001-02-08 00:00:00+00:00,80.0,80.0,72.0,72.08000183105469,1525,,
2001-02-09 00:00:00+00:00,72.08000183105469,72.4000015258789,71.5999984741211,72.4000015258789,725,,
2001-02-12 00:00:00+00:00,72.80000305175781,73.19999694824219,71.19999694824219,71.91999816894531,988,,
2001-02-13 00:00:00+00:00,72.0,72.0,71.36000061035156,71.5999984741211,2263,,
2001-02-14 00:00:00+00:00,71.19999694824219,71.19999694824219,66.80000305175781,69.5999984741211,1700,,
2001-02-15 00:00:00+00:00,69.5999984741211,70.4000015258789,69.5999984741211,70.4000015258789,500,,
2001-02-16 00:00:00+00:00,69.19999694824219,69.19999694824219,60.79999923706055,64.80000305175781,3163,,
2001-02-20 00:00:00+00:00,66.0,66.0,64.0,64.0,238,,
2001-02-21 00:00:00+00:00,64.0,64.0,52.0,55.91999816894531,5813,,
2001-02-22 00:00:00+00:00,52.0,52.79999923706055,48.79999923706055,51.20000076293945,7213,,
2001-02-23 00:00:00+00:00,49.59999847412109,49.59999847412109,48.0,48.79999923706055,2925,,
2001-02-26 00:00:00+00:00,46.79999923706055,47.91999816894531,45.59999847412109,46.63999938964844,4650,,
2001-02-27 00:00:00+00:00,46.63999938964844,46.63999938964844,44.0,44.79999923706055,1913,,
2001-02-28 00:00:00+00:00,44.79999923706055,45.59999847412109,37.7599983215332,41.20000076293945,9263,,
2001-03-01 00:00:00+00:00,41.59999847412109,43.20000076293945,38.79999923706055,39.91999816894531,6725,,
2001-03-02 00:00:00+00:00,40.720001220703125,40.720001220703125,38.0,39.59999847412109,5425,,
2001-03-05 00:00:00+00:00,30.0,35.91999816894531,29.600000381469727,35.20000076293945,16300,,
2001-03-06 00:00:00+00:00,36.0,50.0,36.0,44.0,11263,,
2001-03-07 00:00:00+00:00,41.20000076293945,48.0,41.20000076293945,47.84000015258789,5800,,
2001-03-08 00:00:00+00:00,48.400001525878906,48.400001525878906,45.59999847412109,48.0,4413,,
2001-03-09 00:00:00+00:00,47.59999847412109,47.59999847412109,46.0,46.400001525878906,1600,,
2001-03-12 00:00:00+00:00,46.400001525878906,46.79999923706055,43.20000076293945,44.0,2038,,
2001-03-13 00:00:00+00:00,44.400001525878906,44.63999938964844,37.59999847412109,40.0,3788,,
2001-03-14 00:00:00+00:00,38.400001525878906,38.400001525878906,32.0,32.0,4825,,
2001-03-15 00:00:00+00:00,34.0,37.20000076293945,34.0,36.79999923706055,6163,,
2001-03-16 00:00:00+00:00,36.79999923706055,43.59999847412109,36.79999923706055,42.400001525878906,5200,,
2001-03-19 00:00:00+00:00,43.59999847412109,44.79999923706055,43.59999847412109,44.400001525878906,2150,,
2001-03-20 00:00:00+00:00,43.59999847412109,46.400001525878906,41.59999847412109,46.400001525878906,2650,,
2001-03-21 00:00:00+00:00,46.400001525878906,47.59999847412109,44.79999923706055,46.0,3250,,
2001-03-22 00:00:00+00:00,46.400001525878906,47.20000076293945,38.0,40.79999923706055,5063,,
2001-03-23 00:00:00+00:00,42.79999923706055,55.59999847412109,42.0,54.0,11025,,
2001-03-26 00:00:00+00:00,55.59999847412109,66.0,55.59999847412109,61.84000015258789,9950,,
2001-03-27 00:00:00+00:00,62.08000183105469,62.08000183105469,60.0,61.20000076293945,1188,,
2001-03-28 00:00:00+00:00,60.400001525878906,60.400001525878906,55.20000076293945,56.0,2638,,
2001-03-29 00:00:00+00:00,56.0,57.20000076293945,51.20000076293945,51.20000076293945,2738,,
2001-03-30 00:00:00+00:00,51.20000076293945,52.79999923706055,45.27999877929688,45.27999877929688,4875,,
2001-04-02 00:00:00+00:00,45.59999847412109,47.59999847412109,43.20000076293945,43.20000076293945,4563,,
2001-04-03 00:00:00+00:00,42.400001525878906,43.20000076293945,42.0,42.400001525878906,2263,,
2001-04-04 00:00:00+00:00,42.400001525878906,44.0,39.59999847412109,40.720001220703125,2875,,
2001-04-05 00:00:00+00:00,40.720001220703125,42.400001525878906,38.400001525878906,40.79999923706055,2625,,
2001-04-06 00:00:00+00:00,40.0,41.20000076293945,38.400001525878906,40.0,2238,,
2001-04-09 00:00:00+00:00,40.400001525878906,40.400001525878906,36.0,39.59999847412109,2925,,
2001-04-10 00:00:00+00:00,40.0,46.0,40.0,45.20000076293945,6725,,
